"Spisová značka","Oblast práva","Věc","Forma zjištění","Datum vydání","Právní věty",""
"1628/2020/VOP","Diskriminace - zboží a služby","dopravní služby","Odložení","08.04.2020","I. Součástí služby přepravy osob na železnici je také informační servis pro cestující. Přístup k dopravním informacím ve veřejné dopravě lze proto zahrnout pod oblast poskytování zboží a služeb určených veřejnosti.  II. Rozhodnutí dopravců nevydat tištěný jízdní řád lze vnímat jako zdánlivě neutrální opatření, které může mít vliv na přístup části společnosti k informacím o dopravě. V případě, že tyto informace má nyní cestující čerpat zejména z webových stránek, může s ohledem na statistická data o přístupu českých domácností k internetu vznikat podezření na nepřímou diskriminaci z důvodu věku.   III. Uvedenou praxi dopravců lze v souladu s požadavky antidiskriminačního práva ospravedlnit, pokud směřuje k úspoře finančních prostředků a k podpoře elektronizace (praxe má legitimní cíl), přispívá k dosažení těchto cílů (praxe je vhodná), v jejím důsledku nejsou nadměrně dotčeny oprávněné zájmy znevýhodněných, protože dopravní informace je stále možné čerpat z jiných zdrojů (praxe je proporcionální) a pokud není k dispozici jiné, stejně vhodné a méně omezující opatření vedoucí k dosažení sledovaných cílů (praxe je nezbytná).     ",""
"1436/2020/VOP","Ochrana přírody a krajiny, EIA a báňská správa","ostatní","Odložení","21.04.2020","",""
"1325/2020/VOP","Ochrana přírody a krajiny, EIA a báňská správa","posouzení vlivu záměru na životní prostředí (EIA)","Odložení","14.04.2020","",""
"1310/2020/VOP","Činnost Vězeňské služby ČR","styk s vnějším světem (realizace návštěv, bezkontaktní návštěvy), zdravotní péče","Zpráva o šetření - § 18","07.07.2020","Součástí práva na respektování rodinného života (podle čl. 8 odst. 1 Úmluvy o ochraně lidských práv a základních svobod) je povinnost příslušných orgánů pomáhat vězněné osobě udržovat kontakt se svou rodinou. V daném případě z toho plyne, že odsouzená, která chce udržovat kontakt se svým manželem a čtyřmi dětmi, má právo na to, aby předpisy umožňovaly provedení společné návštěvy se všemi těmito osobami současně.",""
"1310/2020/VOP","Činnost Vězeňské služby ČR","styk s vnějším světem (realizace návštěv, bezkontaktní návštěvy)","Závěrečné stanovisko - § 19","04.08.2020","",""
"1127/2020/VOP","Územní, stavební řízení, užívání stavby","certifikát autorizovaného inspektora","Zpráva o šetření - § 18","07.04.2020","",""
"878/2020/VOP","Ochrana přírody a krajiny, EIA a báňská správa","kácení dřevin","Odložení","26.02.2020","",""
"856/2020/VOP","Český telekomunikační úřad","ostatní","Odložení","09.03.2020","",""
"806/2020/VOP","Místní poplatky a řízení o nich","ostatní","Odložení","07.04.2020","I. Držitel psa podle § 2 odst. 1 zákona o místních poplatcích je osoba, která se psem nakládá jako s vlastním. Držitel psa bude zpravidla naplňovat definici chovatele podle § 3 odst. 1 písm. a) veterinárního zákona, neboť tím je vždy osoba, která psa vlastní nebo drží.  II. Obecní úřad jako správce poplatku je oprávněn požádat soukromého veterinárního lékaře o údaje nezbytné pro správu místního poplatku ze psů podle § 57 odst. 1 daňového řádu, nemůže-li tyto údaje opatřit jinak. Výzva musí být dostatečně konkrétní, směřovat na informace, jimiž veterinární lékaři při výkonu svého povolání disponují, a obsahovat odůvodnění, ze kterého je patrné, že požadované údaje nelze zjistit jiným způsobem.  ",""
"775/2020/VOP","Rozhodnutí o zajištění a prodloužení / přerušení zajištění","rozhodnutí o zajištění","Spolupráce se státními orgány, NGO, soukromým sektorem, zahraničními subjekty","12.02.2020","",""
"687/2020/VOP","Činnost Vězeňské služby ČR","stanoviska Vězeňské služby ČR (např. k podmíněnému propuštění, upuštění od trestu ze zdravotních důvodů, zařazení do vzdělávacího kurzu)","Zpráva o šetření - § 18","20.05.2020","Nejvhodnějším pro vývoj dítěte je plnohodnotné rodinné prostředí mimo věznici, nicméně za určitých podmínek může být v nejlepším zájmu dítěte i umístění s matkou právě ve věznici.",""
"566/2020/VOP","Diskriminace - práce a zaměstnání","podmínky v zaměstnání","Odložení","03.06.2020","I. V rámci omezení stanovených zákoníkem práce má zaměstnavatel volné uvážení, zda a kdy se zaměstnancem uzavře pracovní poměr na dobu určitou či neurčitou  při tomto rozhodování ale nesmí postupovat diskriminačně. Ze samotné skutečnosti, že zaměstnanec patří ke skupině vymezené chráněným diskriminačním znakem a má na rozdíl od ostatních zaměstnanců pracovní poměr na dobu určitou, však nelze bez dalšího dovodit, že se zaměstnavatel dopustil diskriminace.  II. Pokud jsou důvodem méně příznivého postupu zaměstnavatele při rozhodování o prodloužení pracovního poměru nedostatky v pracovním výkonu zaměstnance, může se v některých případech jednat o tzv. neutrální kritérium, které může více nepříznivě dopadnout na zaměstnance se zdravotním postižením. Jednání zaměstnavatele je v takovém případě třeba posoudit z hlediska nepřímé diskriminace - tj. zda jednání zaměstnavatele sleduje legitimní cíl, a zda jsou prostředky k dosažení tohoto cíle přiměřené a nezbytné.   III. Legitimním cílem v případě rozhodování zaměstnavatele o prodloužení trvání pracovního poměru může být snaha o vyšší efektivitu činnosti a lepší dosahování hospodářských cílů.  IV. Pro posouzení nezbytnosti zvoleného opatření – prodloužení pracovního poměru pouze na dobu určitou v případě nedostatků v pracovním výkonu zaměstnance se zdravotním postižením – je klíčové, zda zaměstnavatel porušil či neporušil povinnost přijmout přiměřené opatření.",""
"541/2020/VOP","Činnost orgánů sociálně-právní ochrany dětí (OSPOD)","ostatní","Zpráva o šetření - § 18","25.02.2020","",""
"541/2020/VOP","Činnost orgánů sociálně-právní ochrany dětí (OSPOD)","ostatní","Závěrečné stanovisko - § 19","11.05.2020","",""
"467/2020/VOP","Místní poplatky a řízení o nich","poplatek za komunální odpad","Odložení","18.02.2020","Pokud poplatníci místních poplatků nemusí ohlašovat údaje, které může správce poplatku automatizovaným způsobem zjistit z rejstříků nebo evidencí, do nichž má zřízen automatizovaný přístup (§ 14a odst. 5 zákona o místních poplatcích), o to více toto pravidlo musí platit pro údaje, které správce daně již sám nutně má ve své evidenci u každého stávajícího poplatníka, bez nichž by správa poplatků nebyla prakticky realizovatelná (např. věk poplatníka, který je patrný z rodného čísla jako obecného identifikátoru fyzické osoby dle § 130 odst. 3 daňového řádu). ",""
"420/2020/VOP","Ostatní působnost Ministerstva dopravy a Úřadu pro přístup k dopravní infrastruktuře","drážní doprava","Odložení","17.02.2020","",""
"378/2020/S","","","Jiné","20.01.2020","",""
"269/2020/VOP","Poměry v zařízení pro děti","poměry v dětském domově","Zpráva o šetření - § 18","25.03.2020","I. Zákonné oprávnění ředitele školského zařízení pro výkon ústavní a ochranné výchovy k omezení návštěv dětí (§ 23 odst. 1 písm. e/ zákona č. 109/2002 Sb.) umožňuje pouze jednorázový zásah správní autority do uskutečnění návštěvy dítěte osobami odpovědnými za výchovu, přičemž zásah je nutný v případě, kdy je dítě přímo a bezprostředně ohroženo.  II. Pouze soud je oprávněn upravit, omezit či zakázat styk rodiče s dítětem na neurčito, resp. do té doby, dokud se nezmění poměry na straně daného rodiče tak, aby mohl být styk opět uvolněn.  III. I předem neohlášená návštěva dítěte ve školském zařízení pro výkon ústavní a ochranné výchovy musí být umožněna, je-li to v jeho zájmu.  IV. Dětský domov po dohodě s návštěvníkem musí umožnit návštěvu i v jinou než vnitřním řádem stanovenou návštěvní dobu.  V. V platné právní úpravě není opora pro pravidlo vnitřního řádu, že musí být během návštěvy dítěte s nařízenou ústavní výchovou přítomen pracovník zařízení.",""
"102/2020/VOP","Místní poplatky a řízení o nich","ostatní místní poplatky, poplatek za komunální odpad","Odložení","28.01.2020","I. Pobyt u jednoho poskytovatele pobytu, jehož souhrnná délka přesahuje 60 bezprostředně po sobě jdoucích dní, nespadá do vymezení předmětu poplatku z pobytu (§ 3a odst. 1 zákona o místních poplatcích). Poplatek se v těchto případech proto nevybírá ani za prvních 60 dní trvání pobytu.  II. V případě poskytnutí pobytu na jednu noc je základem poplatku z pobytu jeden den, začínající v noci po 00:00 hod. (§ 3c zákona o místních poplatcích).",""
"84/2020/VOP","Činnost Vězeňské služby ČR","kázeňský trest / odměna","Zpráva o šetření - § 18","07.07.2020","I. Na kázeňské řízení podle zákona o výkonu trestu odnětí svobody lze použít správní řád, a to včetně části druhé (na základě § 180 odst. 1 správního řádu).  II. Věznice nemůže pokračovat v kázeňském řízení, jestliže uplyne rok od spáchání kázeňského přestupku.  III. Součástí rozhodnutí o trestu je i výrok o vině. Po zániku odpovědnosti za protiprávní jednání nelze již rozhodovat ani o trestu, ani i o vině podezřelého ze spáchání kázeňského přestupku. Proto věznice nemůže v zastavení kázeňského řízení vyslovit vinu odsouzeného.",""
"82/2020/VOP","Daně a správa daní","ostatní","Odložení","27.02.2020","",""
"29/2020/SZD","Činnost Vězeňské služby ČR","ostatní","Vyjádření pro Ústavní soud","14.10.2020","",""
"19/2020/SZD","Jiná činnost orgánů státní správy soudů","ostatní","Doporučení ke změně předpisů - § 22","03.06.2020","",""
"19/2020/NZ","Detence - vězeňská zařízení","věznice","Souhrnná zpráva z návštěv zařízení - § 21a","09.06.2020","I. Trend narůstajícího ukládání zabezpečovací detence zpochybňuje původní účel a smysl zabezpečovací detence. Proto by se měla vypustit třetí věta § 99 odst. 5 trestního zákoníku a tím ustanovení vrátit do stavu před 1. 12. 2011. Taková změna by se měla zvážit i u § 100 odst. 1 a 2 trestního zákoníku.  II. Standardní součástí zprávy lékaře z prohlídky či ošetření osoby nesoucí na těle známky nasvědčující na možné špatné zacházení, anebo osoby, jež si přímo na špatné zacházení stěžuje, má být: (i) co nejpřesnější popis událostí, zacházení a následných fyzických i psychických projevů, jak je udává pacient  (ii) záznam o lékařském a psychologickém nálezu včetně barevných fotografií zranění  (iii) stanovisko lékaře, co se týká pravděpodobné souvislosti nálezu a možného mučení a špatného zacházení, a případné doporučení další péče. Jen tak splní zdravotní služba (nejen ve věznicích) svou úlohu při účinném dokumentování a vyšetřování špatného zacházení.   III. Standard prevence špatného zacházení dále vyžaduje, aby lékařské vyšetření probíhalo až na výjimky důvěrně, bez přítomnosti policistů či dozorců, a aby lékař mohl, a měl i zadání, systematicky oznamovat takové případy orgánům příslušným k vyšetřování. K jeho naplnění je zapotřebí provést změny v zákoně o zdravotních službách.  ",""
"18/2020/SZD","Pobyt cizinců","ostatní","Vyjádření pro Ústavní soud","18.05.2020","",""
"18/2020/NZ","Detence - ochranná nebo ústavní výchova","dětské domovy se školou","Zpráva z návštěvy zařízení - §21a","21.07.2020","",""
"18/2020/DIS","Diskriminace - výzkum","výzkum","Výzkumná zpráva (diskriminace) - § 21b","19.05.2020","SHRNUTÍ VÝSLEDKŮ VÝZKUMU:  I. Obecná kritéria či podmínky (pravidla) vlastníka komunikace pro udělení souhlasu se zřízením individuálního vyhrazeného parkoviště pro osoby se zdravotním postižením má zpracováno pouze 41 % obcí.  II. Nesouhlas vlastníka komunikace je nejčastějším důvodem, pro který silniční správní úřad nepovolí individuální vyhrazené parkoviště.  III. Pouze 9 % obcí považuje za oprávněné žadatele o individuální vyhrazené parkoviště také osoby bez průkazu ZTP a ZTP/P. Zbytek obcí tento průkaz vyžaduje.  IV. 64 % obcí vyžaduje, aby žadatel měl trvalý pobyt v nemovitosti, u které žádá o individuální vyhrazené parkoviště. Polovina všech obcí se však spokojí rovněž s jiným prokázáním vztahu k nemovitosti.  V. 28 % obcí vydává povolení pro individuální vyhrazené parkoviště na dobu platnosti průkazu ZTP nebo ZTP/P.  VI. 46 % obcí požaduje pořízení a umístění dopravního značení po samotných uživatelích. Více než polovina všech obcí od nich vyžaduje i platbu nákladů na dopravní značení (v plné či podílové výši).  VII. 20 % obcí neprovádí údržbu individuálního vyhrazeného parkoviště pro OZP ani odklízení sněhu v zimním období.",""
"17/2020/NZ","Detence - ochranná nebo ústavní výchova","dětské domovy se školou","Zpráva z návštěvy zařízení - §21a","02.07.2020","",""
"15/2020/SZD","Činnost orgánů sociálně-právní ochrany dětí (OSPOD)","výkon sociálně-právní ochrany","Vyjádření pro Ústavní soud","30.03.2020","Při jmenování poručníka (§ 932 občanského zákoníku) by nemělo být rozhodujícím faktorem jeho zadlužení. Zásadní je posuzovat případ jako celek, hodnotit kvalitu péče a vztahu mezi navrhovatelem a dítětem a zaměřit se na nejlepší zájem dítěte. U posouzení zadluženosti navrhovatele je pak důležité, jak k dluhům přistupuje, tedy zda je splácí, nevytváří nové, spolupracuje s pomáhajícími neziskovými organizacemi atp. ",""
"15/2020/S","","","Souhrnná zpráva sněmovně § 23/1","02.04.2020","",""
"15/2020/NZ","Detence - ochranná nebo ústavní výchova","dětské domovy","Zpráva z návštěvy zařízení - §21a","15.06.2020","Zákon o výkonu ústavní výchovy (č. 109/2002 Sb.) neobsahuje právní základ pro to, aby ředitel zařízení plošně zakázal dětem přijímat návštěvy, a to ani z důvodu prevence šíření nakažlivé choroby  pro naplnění tohoto účelu sice lze přistoupit k zákazu návštěv, ale musí se tak stát na základě příslušného předpisu a rozhodnutím příslušného orgánu. To platí i o zákazu pobytu dětí mimo zařízení (tzv. dovolenky).",""
"14/2020/NZ","Detence - ochranná nebo ústavní výchova","dětské domovy","Zpráva z návštěvy zařízení - §21a","08.06.2020","",""
"13/2020/SZD","Diskriminace - zdravotní péče","ostatní","Vyjádření pro Ústavní soud","17.02.2020","",""
"12/2020/NZ","Detence - vězeňská zařízení","věznice","Zpráva z návštěvy zařízení - §21a","22.06.2020","I. Jakékoliv restriktivní opatření přijaté ve vztahu k osobám zbaveným svobody, které má za cíl zabránit šíření onemocnění COVID-19, musí mít právní základ a být nezbytné, proporcionální a respektující lidskou důstojnost a mělo by být časově omezené.  II. Úprava pravidel a prostředí pro provádění návštěv vězňů zavedená s cílem zabránit šíření onemocnění COVID-19, jež má restriktivní dopad na okruh možných návštěvníků a v podstatě plošně zavedla plošné oddělení přepážkou, má právní základ pouze v období pandemie.",""
"11/2020/NZ","Detence - zařízení sociálních služeb","zařízení pro osoby se zdravotním postižením","Zpráva z návštěvy zařízení - §21a","04.06.2020","",""
"9/2020/NZ","Detence - vězeňská zařízení","věznice","Zpráva z návštěvy zařízení - §21a","22.06.2020","",""
"6/2020/OZP","Práva osob se zdravotním postižením","nezávislý způsob života a zapojení do společnosti","Doporučení (práva osob se zdravotním postižením) - § 21c","18.02.2020","",""
"5/2020/SZD","Územní, stavební řízení, užívání stavby","ostatní","Žaloba ve veřejném zájmu","11.02.2020","",""
"2/2020/DIS","Diskriminace - doporučení","doporučení","Doporučení (diskriminace) - § 21b","27.07.2020","I. Zaměstnavatel porušuje povinnost stanovenou § 4a zákoníku práce tím, že sjedná se zaměstnancem povinnost zachovat mlčenlivost o výši zaměstnancovy odměny, pokud zachování této informace není v oprávněném zájmu zaměstnavatele, případně takto zaměstnanci mlčenlivost stanoví ve vnitřním předpise.  II. Za oprávněný nelze považovat zájem zaměstnavatele na zachování mlčenlivosti, pokud je tato povinnost stanovena absolutně (zaměstnanec nesmí výši své mzdy sdělit nikomu) nebo je tato povinnost stanovena vůči ostatním zaměstnancům zaměstnavatele.  III. Orgány inspekce práce v rámci kontrol zaměřených na dodržování povinností na úseku odměňování zaměstnanců mohou kontrolovat, zda zaměstnavatel neporušil povinnost stanovenou § 4a zákoníku práce výše uvedeným způsobem.",""
"56211/2019/S","Stavby a regionální rozvoj","","Připomínka v legislativním procesu","20.12.2019","",""
"56210/2019/S","Stavby a regionální rozvoj","","Připomínka v legislativním procesu","20.12.2019","",""
"49240/2019/S","Věci cizinců","","Připomínka v legislativním procesu","01.11.2019","",""
"47261/2019/S","","","Zpráva sněmovně § 24/1 b)","21.10.2019","",""
"47260/2019/S","","","Čtvrtletní zpráva sněmovně § 24/1 a)","21.10.2019","",""
"45601/2019/S","Působnost Ministerstva spravedlnosti, Probační a mediační služba","","Připomínka v legislativním procesu","09.10.2019","",""
"35233/2019/S","","","Zpráva sněmovně § 24/1 b)","05.08.2019","",""
"35230/2019/S","","","Čtvrtletní zpráva sněmovně § 24/1 a)","05.08.2019","",""
"34675/2019/S","Pojistné na zdravotní pojištění a činnost zdravotních pojišťoven","úhrady spojené s poskytováním zdravotní péče (poplatky / doplatky)","Připomínka v legislativním procesu","29.07.2019","",""
"34320/2019/S","Péče o movité a nemovité památky","ostatní","Připomínka v legislativním procesu","01.08.2019","",""
"28475/2019/S","Nabývání státního občanství","","Připomínka v legislativním procesu","24.06.2019","",""
"28133/2019/S","Daně a správa daní","","Připomínka v legislativním procesu","18.06.2019","",""
"23152/2019/S","Státní správa soudnictví","","Připomínka v legislativním procesu","20.05.2019","",""
"20722/2019/S","Správa na úseku školství","","Připomínka v legislativním procesu","06.05.2019","",""
"20719/2019/S","Správa na úseku školství","","Připomínka v legislativním procesu","06.05.2019","",""
"18858/2019/S","","","Zpráva sněmovně § 24/1 b)","23.04.2019","",""
"18857/2019/S","","","Čtvrtletní zpráva sněmovně § 24/1 a)","23.04.2019","",""
"14860/2019/S","Správa na úseku školství","","Připomínka v legislativním procesu","27.03.2019","",""
"14857/2019/S","Správa na úseku školství","","Připomínka v legislativním procesu","27.03.2019","",""
"13439/2019/S","Práva osob se zdravotním postižením","přístupnost","Jiné","30.08.2019","",""
"9595/2019/S","Stavby a regionální rozvoj","","Připomínka v legislativním procesu","27.02.2019","",""
"7842/2019/VOP","Působnost Ministerstva spravedlnosti, Probační a mediační služba","rozvrh práce","Odložení","13.01.2020","",""
"7445/2019/VOP","Místní poplatky a řízení o nich","poplatek za komunální odpad","Odložení","18.02.2020","",""
"7437/2019/VOP","Pojistné na zdravotní pojištění a činnost zdravotních pojišťoven","zdravotní pojištění s cizím prvkem (pojištěnci ze států EU / cizinci)","Závěrečné stanovisko - § 19","12.05.2020","",""
"7435/2019/VOP","Rodinněprávní věci","rodinněprávní věci","Odložení","10.01.2020","",""
"7170/2019/VOP","Daně a správa daní","ostatní","Zpráva o šetření - § 18","29.06.2020","",""
"7115/2019/VOP","Činnost Vězeňské služby ČR","kázeňský trest / odměna","Zpráva o šetření - § 18","11.02.2020","",""
"7115/2019/VOP","Činnost Vězeňské služby ČR","kázeňský trest / odměna","Závěrečné stanovisko - § 19","05.05.2020","V situaci, kdy je vězněná osoba kázeňsky trestána za nevhodné chování a takovéto chování lze doložit pouze výpověďmi zaměstnanců věznice, je (ve smyslu § 58 odst. 3 a 5 vyhlášky č. 345/1999 Sb., kterou se vydává řád výkonu trestu odnětí svobody, ve znění pozdějších předpisů) nezbytné, aby každý jednotlivý přítomný zaměstnanec popsal toto chování v průběhu kázeňského řízení samostatně, a to zcela vyčerpávajícím způsobem.",""
"7115/2019/VOP","Činnost Vězeňské služby ČR","kázeňský trest / odměna","Sankce - § 20","31.07.2020","V situaci, kdy je vězněná osoba kázeňsky trestána za nevhodné chování a takovéto chování lze doložit pouze výpověďmi zaměstnanců věznice, je (ve smyslu § 58 odst. 3 a 5 vyhlášky č. 345/1999 Sb., kterou se vydává řád výkonu trestu odnětí svobody, ve znění pozdějších předpisů) nezbytné, aby každý jednotlivý přítomný zaměstnanec popsal toto chování v průběhu kázeňského řízení samostatně, a to zcela vyčerpávajícím způsobem.",""
"6863/2019/VOP","Daně a správa daní","daň z příjmů","Odložení","25.05.2020","",""
"6799/2019/VOP","Činnost orgánů sociálně-právní ochrany dětí (OSPOD)","úprava styku rodiče s dětmi / bránění ve styku, výkon sociálně-právní ochrany","Zpráva o šetření - § 18","03.04.2020","I. Povinnost OSPOD navštívit nejméně jednou za 3 měsíce rodiče dítěte, kterému je nařízena ústavní výchova trvá i pokud je rodič ve výkonu trestu odnětí svobody (§ 29 odst. 2 písm. b) zákona o sociálně-právní ochraně dětí).     II. Zásadní změny v životě dítěte (např. návrh pěstounské péče, omezení kontaktů) má OSPOD s rodičem projednat osobně, i když je ve výkonu trestu odnětí svobody (§ 10 odst. 3 psím. d) ve spojení s § 10 odst. 5 písm. c/ zákona o sociálně-právní ochraně dětí).    III. Pokud je rodič ve výkonu trestu odnětí svobody, má OSPOD povinnost jej informovat, jaká je aktuální situace dítěte, jaké kroky OSPOD navrhuje k řešení další situace dítěte a také o tom, kde se dítě nachází. I v takové situaci totiž rodič zůstává nositelem rodičovské odpovědnosti (§ 858 občanského zákoníku).    IV. I v případě, že je rodič ve výkonu trestu odnětí svobody, má OSPOD ohledně styku dítěte komunikovat s rodičem a pěstounem a snažit se zprostředkovat mezi nimi dohodu. Pokud se však rodič a pěstoun nedohodnou, je to pouze soud, kdo může autoritativně rozhodnout o kontaktech (§ 888 a 891 občanského zákoníku, čl. 9 odst. 1 Úmluvy o právech dítěte, čl. 4 odst. 2 a 3 Úmluvy o styku s dětmi a čl. 8 odst. 2 Úmluvy o ochraně lidských práv a základních svobod).    V. Je povinností OSPOD před vydáním souhlasu s pobytem dítěte mimo zařízení zjistit, zda je takový pobyt pro dítě vhodný a bezpečný, a má to zvažovat s velkou odpovědností, obzvláště pokud jde o pobyt u třetích osob. To samé platí i v případě, že dítěti prodlužuje dovolenku u vytipovaných pěstounů (§ 30 zákona o sociálně-právní ochraně dětí).  ",""
"6741/2019/VOP","Péče o movité a nemovité památky","obnova a údržba kulturní památky","Zpráva o šetření - § 18","27.04.2020","Není úřední povinností stavebního úřadu zahájit řízení o nařízení obnovení předcházejícího stavu stavby. Zahájení takového řízení musí stavební úřad opřít o kvalifikovanou správní úvahu, že je dán veřejný zájem na nařízení obnovení předcházejícího stavu stavby, což zákonodárce vyjadřuje slovy: „pokud je třeba nařídit obnovení předcházejícího stavu stavby…“ (srov. § 129 odst. 8 stavebního zákona).",""
"6659/2019/VOP","Diskriminace - zboží a služby","přístup ke zboží a službám","Zpráva o nezjištění diskriminace - § 21b","16.06.2020","I. Právo na rovné zacházení a zákaz diskriminace ve věcech přístupu ke zboží a službám nebo při jejich poskytování podle § 1 odst. 1 písm. j) antidiskriminačního zákona (zákon č. 198/2009 Sb.) se vztahuje na veškeré zboží a služby, které jsou poskytovány veřejnosti, bez ohledu na to, zda jsou poskytovány za úplatu a kdo je jejich poskytovatelem.  II. Povinnost poskytovatele služeb určených veřejnosti provést přiměřené opatření podle § 3 odst. 2 antidiskriminačního zákona spočívá především v tom, že poskytovatel služeb je povinen reagovat na požadavek člověka s postižením na přiměřené opatření, které by mu umožnilo využívat nabízenou službu. Přiměřené opatření má zpravidla individuální charakter, a proto po poskytovateli služeb nelze spravedlivě požadovat, aby v konkrétním případě z vlastní iniciativy sám navrhoval podobu přiměřeného opatření.",""
"6601/2019/VOP","Diskriminace - práce a zaměstnání","ukončení zaměstnávání","Zpráva o nezjištění diskriminace - § 21b","27.05.2020","I. Zaměstnavatel se dopustí nepřímé diskriminace z důvodu státní příslušnosti a národnosti, předloží-li pracovní smlouvu pouze v českém jazyce zaměstnanci, který neumí dobře česky, nemá dostatečný prostor si před podpisem smlouvu prostudovat a zajistit si překlad, a zároveň není předem seznámen s konkrétními podmínkami pracovní smlouvy.   II. Jazyk je kritériem, který se váže jak k diskriminačnímu důvodu národnost, tak k diskriminačnímu důvodu státní příslušnost. Je totiž jedním ze znaků, které definují národ, a tedy i národnost (příslušnost k určitému národu).  Zároveň úzce souvisí se státní příslušností, neboť stát je zpravidla tvořen jedním, méně často několika konkrétními národy, a podle tohoto národa či národů na svém území zavádí úřední jazyk jako společný komunikační prostředek.",""
"6573/2019/VOP","Ostatní oblasti ochrany životního prostředí, činnost Ministerstva zemědělství a Ministerstva životního prostředí","ostatní","Odložení","12.02.2020","",""
"6570/2019/VOP","Správa pozemních komunikací","parkování / parkovací zóny / parkovací karty / poplatky za parkování","Zpráva o šetření - § 18","18.05.2020","I. V případě, kdy o zřízení vyhrazeného parkoviště žádá člověk se zdravotním postižením, dopadá na postupy obce (samosprávy) i silničního správního úřadu zákaz nepřímé diskriminace lidí se zdravotním postižením (§ 3 odst. 2 antidiskriminačního zákona).    II. Pokud žadatel či žadatelka potřebuje kvůli svému postižení vyhrazené parkoviště, má právo na jeho zřízení, ledaže by jeho vyhrazení představovalo nepřiměřené zatížení (§ 3 odst. 2 antidiskriminačního zákona).    III. Nepřiměřenost zatížení může spočívat v nedostatečné kapacitě parkovacích míst v lokalitě. V takovém případě je třeba vždy zkoumat „míru užitku“ vyhrazeného parkování pro konkrétního žadatele či žadatelku a posuzovat ji společně se „způsobilostí náhradních opatření uspokojit potřeby osoby se zdravotním postižením“ (§ 3 odst. 3 antidiskriminačního zákona). Náhradní opatření však musí být způsobilé fakticky uspokojit potřeby žadatele. ",""
"6350/2019/VOP","Daně a správa daní","daňová exekuce","Odložení","27.11.2019","",""
"6302/2019/VOP","Péče o zdraví","vyřizování stížnosti proti postupu poskytovatele zdravotních služeb dozorovým orgánem","Zpráva o šetření - § 18","19.03.2020","",""
"6291/2019/VOP","Daně a správa daní","DPH","Odložení","18.02.2020","V řízení o stanovení úroků z prodlení (§ 252 daňového řádu) nelze zohlednit individuální tvrdost zákona a upustit od jejich předepsání. Rovněž nelze zohlednit přílišnou délku daňové kontroly. Tyto skutečnosti je třeba namítat v řízení o prominutí příslušenství daně podle § 259b daňového řádu.",""
